date,Gold_Rum
2017-10-13,295.0
2017-10-16,354.0
2017-10-17,722.12
2017-10-18,565.87
2017-10-19,551.37
2017-10-20,181.75
2017-10-23,796.5
2017-10-24,462.11
2017-10-25,860.51
2017-10-26,338.38
2017-10-27,455.37
2017-10-30,509.74
2017-10-31,117.11000000000001
2017-11-01,409.88
2017-11-02,336.38
2017-11-03,214.12
2017-11-06,482.5
2017-11-07,532.75
2017-11-08,656.88
2017-11-09,516.12
2017-11-10,214.12
2017-11-13,441.63
2017-11-14,573.38
2017-11-15,764.5
2017-11-16,663.75
2017-11-17,403.75
2017-11-20,457.75
2017-11-21,480.0
2017-11-22,258.62
2017-11-27,261.62
2017-11-28,617.35
2017-11-29,595.74
2017-11-30,616.0
2017-12-01,386.49
2017-12-04,619.0
2017-12-05,430.76
2017-12-06,565.63
2017-12-07,562.38
2017-12-08,219.74
2017-12-11,485.76
2017-12-12,536.88
2017-12-13,623.88
2017-12-14,818.0
2017-12-15,215.62
2017-12-18,579.99
2017-12-19,740.25
2017-12-20,694.13
2017-12-21,479.0
2017-12-22,886.12
2017-12-26,653.5
2017-12-27,741.15
2017-12-28,664.12
2017-12-29,204.5
2018-01-02,359.87
2018-01-03,721.75
2018-01-04,402.0
2018-01-05,167.62
2018-01-08,556.75
2018-01-09,503.75
2018-01-10,417.12
2018-01-11,323.25
2018-01-12,236.62
2018-01-15,487.87
2018-01-16,411.88
2018-01-17,526.5
2018-01-18,304.75
2018-01-19,129.5
2018-01-22,435.0
2018-01-23,370.75
2018-01-24,619.13
2018-01-25,395.25
2018-01-26,187.88
2018-01-29,390.5
2018-01-30,417.0
2018-01-31,624.75
2018-02-01,258.75
2018-02-02,179.49
2018-02-05,549.62
2018-02-06,512.75
2018-02-07,626.5
2018-02-08,357.62
2018-02-09,195.38
2018-02-12,298.74
2018-02-13,341.75
2018-02-14,363.25
2018-02-15,441.38
2018-02-16,283.25
2018-02-19,414.25
2018-02-20,349.87
2018-02-21,534.88
2018-02-22,413.13
2018-02-23,194.5
2018-02-26,223.13
2018-02-27,335.37
2018-02-28,427.5
2018-03-01,309.25
2018-03-02,81.25
2018-03-05,640.22
2018-03-06,509.24
2018-03-07,691.63
2018-03-08,552.5
2018-03-09,158.13
2018-03-12,641.75
2018-03-13,524.75
2018-03-14,520.13
2018-03-15,342.88
2018-03-16,284.62
2018-03-19,428.88
2018-03-20,503.5
2018-03-21,570.62
2018-03-22,432.63
2018-03-23,224.37
2018-03-26,602.88
2018-03-27,381.49
2018-03-28,572.0
2018-03-29,346.37
2018-03-30,93.490000000000009
2018-04-02,290.0
2018-04-03,369.38
2018-04-04,449.87
2018-04-05,341.75
2018-04-06,173.74
2018-04-09,488.75
2018-04-10,448.75
2018-04-11,523.88
2018-04-12,381.25
2018-04-13,162.13
2018-04-16,374.75
2018-04-17,437.13
2018-04-18,622.0
2018-04-19,498.0
2018-04-20,217.62
2018-04-23,328.25
2018-04-24,359.02
2018-04-25,520.5
2018-04-26,224.63
2018-04-27,281.37
2018-04-30,404.87
2018-05-01,326.51
2018-05-02,507.38
2018-05-03,435.75
2018-05-04,263.62
2018-05-07,386.75
2018-05-08,607.0
2018-05-09,451.25
2018-05-10,422.25
2018-05-11,344.0
2018-05-14,445.62
2018-05-15,278.5
2018-05-16,901.51
2018-05-17,511.26
2018-05-18,219.75
2018-05-21,303.0
2018-05-22,483.88
2018-05-23,686.62
2018-05-24,385.24
2018-05-25,557.26
2018-05-29,472.0
2018-05-30,662.75
2018-05-31,337.25
2018-06-01,182.38
2018-06-04,674.25
2018-06-05,451.37
2018-06-06,842.25
2018-06-07,688.25
2018-06-08,170.51
2018-06-11,486.25
2018-06-12,369.13
2018-06-13,551.88
2018-06-14,380.25
2018-06-15,315.62
2018-06-18,473.75
2018-06-19,359.87
2018-06-20,551.01
2018-06-21,366.62
2018-06-22,117.0
2018-06-25,373.12
2018-06-26,446.5
2018-06-27,867.0
2018-06-28,526.0
2018-06-29,809.25
2018-07-02,232.37
2018-07-03,457.37
2018-07-05,299.5
2018-07-06,294.75
2018-07-09,423.75
2018-07-10,528.12
2018-07-11,550.12
2018-07-12,328.87
2018-07-13,167.87
2018-07-16,364.62
2018-07-17,340.74
2018-07-18,461.75
2018-07-19,384.25
2018-07-20,184.0
2018-07-23,313.36
2018-07-24,335.74
2018-07-25,567.26
2018-07-26,325.25
2018-07-27,292.0
2018-07-30,468.64
2018-07-31,536.51
2018-08-01,802.49
2018-08-02,691.87
2018-08-03,232.25
2018-08-06,502.74
2018-08-07,544.25
2018-08-08,591.99
2018-08-09,251.12
2018-08-10,195.25
2018-08-13,554.75
2018-08-14,391.5
2018-08-15,491.37
2018-08-16,298.37
2018-08-17,314.75
2018-08-20,513.0
2018-08-21,564.24
2018-08-22,578.37
2018-08-23,272.49
2018-08-24,170.87
2018-08-27,496.62
2018-08-28,439.87
2018-08-29,820.87
2018-08-30,381.36
2018-08-31,496.24
2018-09-04,308.74
2018-09-05,516.37
2018-09-06,525.74
2018-09-07,232.75
2018-09-10,471.25
2018-09-11,476.24
2018-09-12,415.87
2018-09-13,374.12
2018-09-14,131.37
2018-09-17,479.62
2018-09-18,332.86
2018-09-19,611.12
2018-09-20,349.87
2018-09-21,165.24
2018-09-24,436.75
2018-09-25,289.62
2018-09-26,523.5
2018-09-27,433.25
2018-09-28,210.0
2018-10-01,589.37
2018-10-02,348.0
2018-10-03,617.24
2018-10-04,281.25
2018-10-05,261.87
2018-10-08,344.12
2018-10-09,537.37
2018-10-10,458.0
2018-10-11,518.5
2018-10-12,186.49
2018-10-15,306.62
2018-10-16,440.62
2018-10-17,322.0
2018-10-18,347.5
2018-10-19,198.75
2018-10-22,461.49
2018-10-23,473.61
2018-10-24,995.12
2018-10-25,352.49
2018-10-26,95.860000000000014
2018-10-29,478.49
2018-10-30,560.49
2018-10-31,776.5
2018-11-01,396.49
2018-11-02,287.5
2018-11-05,580.12
2018-11-06,401.11
2018-11-07,735.24
2018-11-08,477.87
2018-11-09,242.0
2018-11-12,637.23
2018-11-13,501.98
2018-11-14,677.74
2018-11-15,463.61
2018-11-16,296.37
2018-11-19,470.25
2018-11-20,505.37
2018-11-21,294.87
2018-11-26,537.12
2018-11-27,423.86
2018-11-28,802.74
2018-11-29,654.74
2018-11-30,409.25
2018-12-03,488.0
2018-12-04,468.62
2018-12-05,506.62
2018-12-06,568.0
2018-12-07,295.87
2018-12-10,493.87
2018-12-11,427.11
2018-12-12,657.49
2018-12-13,488.37
2018-12-14,238.0
2018-12-17,526.87
2018-12-18,579.62
2018-12-19,649.0
2018-12-20,474.25
2018-12-21,657.86
2018-12-24,14.25
2018-12-26,606.48
2018-12-27,695.49
2018-12-28,451.36
2018-12-29,329.87
2018-12-31,464.98
2019-01-02,366.36
2019-01-03,537.36
2019-01-04,563.87
2019-01-07,480.72
2019-01-08,313.98
2019-01-09,520.12
2019-01-10,344.5
2019-01-11,165.37
2019-01-14,276.87
2019-01-15,368.62
2019-01-16,458.86
2019-01-17,424.5
2019-01-18,245.61
2019-01-22,619.98
2019-01-23,377.12
2019-01-24,541.87
2019-01-25,182.25
2019-01-28,436.37
2019-01-29,394.87
2019-01-30,571.62
2019-01-31,630.0
2019-02-01,208.62
2019-02-04,356.61
2019-02-05,352.74
2019-02-06,495.12
2019-02-07,351.11
2019-02-08,145.37
2019-02-11,379.48
2019-02-12,327.49
2019-02-13,462.49
2019-02-14,481.5
2019-02-15,140.25
2019-02-18,419.49
2019-02-19,432.86
2019-02-20,783.74
2019-02-21,356.5
2019-02-22,202.12
2019-02-25,299.12
2019-02-26,327.87
2019-02-27,431.87
2019-02-28,360.11
2019-03-01,202.5
2019-03-04,370.24
2019-03-05,412.62
2019-03-06,481.25
2019-03-07,285.25
2019-03-08,268.25
2019-03-11,383.62
2019-03-12,375.37
2019-03-13,440.12
2019-03-14,335.37
2019-03-15,228.5
2019-03-18,344.74
2019-03-19,472.36
2019-03-20,459.49
2019-03-21,268.75
2019-03-22,228.5
2019-03-25,260.0
2019-03-26,253.74
2019-03-27,672.37
2019-03-28,426.25
2019-03-29,163.75
2019-04-01,455.0
2019-04-02,372.37
2019-04-03,558.25
2019-04-04,265.0
2019-04-05,166.87
2019-04-08,444.99
2019-04-09,324.11
2019-04-10,512.25
2019-04-11,379.5
2019-04-13,274.12
2019-04-15,298.62
2019-04-16,392.12
2019-04-17,524.5
2019-04-18,440.0
2019-04-19,526.25
2019-04-22,259.11
2019-04-23,302.5
2019-04-24,369.25
2019-04-25,368.75
2019-04-26,365.37
2019-04-29,538.87
2019-04-30,527.37
2019-05-01,315.37
2019-05-02,492.75
2019-05-03,336.12
2019-05-06,341.99
2019-05-07,374.5
2019-05-08,546.5
2019-05-09,358.87
2019-05-10,459.25
2019-05-13,517.74
2019-05-14,652.46
2019-05-15,703.75
2019-05-16,275.37
2019-05-17,538.37
2019-05-19,10.5
2019-05-20,384.86
2019-05-21,636.87
2019-05-22,661.0
2019-05-23,417.87
2019-05-24,525.87
2019-05-28,549.24
2019-05-29,538.24
2019-05-30,385.75
2019-05-31,919.87
2019-06-03,377.62
2019-06-04,332.99
2019-06-05,329.12
2019-06-06,287.0
2019-06-07,455.87
2019-06-10,490.12
2019-06-11,326.49
2019-06-12,559.12
2019-06-13,363.25
2019-06-14,403.25
2019-06-15,209.12
2019-06-17,512.87
2019-06-18,375.86
2019-06-19,488.87
2019-06-20,262.25
2019-06-21,532.25
2019-06-24,362.12
2019-06-25,543.37
2019-06-26,772.37
2019-06-27,649.5
2019-06-28,332.86
2019-07-01,601.25
2019-07-02,431.0
2019-07-03,510.37
2019-07-04,23.25
2019-07-05,790.12
2019-07-08,333.49
2019-07-09,336.99
2019-07-10,491.5
2019-07-11,366.75
2019-07-12,478.5
2019-07-15,308.37
2019-07-16,384.11
2019-07-17,388.25
2019-07-18,253.87
2019-07-19,362.5
2019-07-22,257.37
2019-07-23,501.12
2019-07-24,319.37
2019-07-25,345.87
2019-07-26,450.25
2019-07-29,293.62
2019-07-30,326.62
2019-07-31,593.87
2019-08-01,341.71999999999997
2019-08-02,309.01
2019-08-05,636.87
2019-08-06,576.71999999999991
2019-08-07,397.92
2019-08-08,336.52
2019-08-09,504.55
2019-08-12,279.1
2019-08-13,326.14000000000004
2019-08-14,427.14000000000004
2019-08-15,347.34000000000009
2019-08-16,399.59000000000003
2019-08-19,337.7
2019-08-20,388.09000000000003
2019-08-21,297.59000000000003
2019-08-22,234.25
2019-08-23,450.67
2019-08-26,550.1
2019-08-27,455.70000000000005
2019-08-28,467.07000000000005
2019-08-29,530.61
2019-08-30,393.8
2019-09-03,316.85
2019-09-04,459.04
2019-09-05,816.0
2019-09-06,405.16999999999996
2019-09-09,520.6
2019-09-10,428.41
2019-09-11,260.65
2019-09-12,551.35
2019-09-13,418.49
2019-09-16,249.11
2019-09-17,335.57
2019-09-18,394.92
2019-09-19,257.84999999999997
2019-09-20,410.66999999999996
2019-09-23,396.89000000000004
2019-09-24,564.12
2019-09-25,343.87
2019-09-26,279.59999999999997
2019-09-27,418.65000000000003
2019-09-29,0.75
2019-09-30,412.28999999999996
2019-10-01,314.49
2019-10-02,554.92
2019-10-03,412.6
2019-10-04,428.15000000000003
2019-10-07,455.14
2019-10-08,567.27
2019-10-09,405.14
2019-10-10,288.6
2019-10-11,340.75
2019-10-14,450.02000000000004
2019-10-15,646.83
2019-10-16,646.56999999999994
2019-10-17,365.5
2019-10-18,506.72
2019-10-21,338.34000000000003
2019-10-22,379.16
2019-10-23,303.17
2019-10-24,298.0
2019-10-25,390.30000000000007
2019-10-28,553.02
2019-10-29,401.74000000000007
2019-10-30,638.81999999999994
2019-10-31,319.75
